Event,Date,Location,Latitude,Longitude,sample_top,sample_bottom,Comment,absolute_salinity(g/kg),Salinity (psu),Cond(microS/cm),Temperature,sample_id,
PS122/3_29-43,27/02/2020,RS3,88.41405,36.848866,0.03,0,ION119,1.2,,,15.8,dO18_0365,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.22,0.19,KL,0,,,16.7,dO18_0376,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.19,0.16,S20,0.1,,,16.4,dO18_0377,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.16,0.13,S13,0,,,16.4,dO18_0379,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.13,0.1,AB,0,,,16.7,dO18_0380,
PS122/3_29-9,25/02/2020,snow2-A8,88.560159,45.682791,0.04,0.01,S19,1.1,,,16.9,dO18_0381,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.19,0.16,S9,0,,,,dO18_0160,two S9
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.28,0.25,B,0,,,17.9,dO18_0408,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.22,0.19,S18,0,,,18,dO18_0409,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.16,0.13,KL,0,,,17.8,dO18_0410,
PS122/3_30-17,02/03/2020,snow2-A2,88.181497,31.002182,0.13,0.1,S14,0,,,17.6,dO18_0413,
