Event,Date,Location,Latitude,Longitude,sample_top,sample_bottom,Comment,absolute_salinity(g/kg),Salinity (psu),Cond(microS/cm),Temperature,sample_id,
PS122/2_19-145,13/01/2020,runway1,87.338367,107.028839,0.04,0.01,,,0.28,,,dO18_0139,"surface, RS salinity instrument, (psu)"
PS122/2_19-145,13/01/2020,runway1,87.338367,107.028839,0.12,0.09,,,1.07,,,dO18_0140,"surface, RS salinity instrument, (psu)"
PS122/2_19-146,09/01/2020,runway1,87.146529,114.16245,0,-0.03,B,7.2,,,,dO18_0029,"bottom, EMIRAD"
PS122/2_19-146,09/01/2020,runway1,87.146529,114.16245,0.08,0.05,S20,0,,,,dO18_0132,"surface, EMIRAD"
PS122/2_19-41,08/01/2020,L3,87.113455,115.177044,0.05,0,AB,6,,,20.1,dO18_0019,bottom
PS122/2_19-41,08/01/2020,L3,87.113455,115.177044,0.12,0.11,AA,0,,,20.1,dO18_0122,surface
PS122/2_19-75,09/01/2020,BGC3,87.136672,114.534163,0.03,0,AC,2.6,,,20.1,dO18_0020,bottom
PS122/2_19-75,09/01/2020,BGC3,87.136672,114.534163,0.15,0.12,S12,0.1,,,20.1,dO18_0123,surface
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.145,0.115,S7,0,,9.1,17.1,dO18_0187,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.235,0.205,S15,0,,13.5,17.1,dO18_0184,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.205,0.175,S18,0,,14.3,17.1,dO18_0185,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.175,0.145,S14,0,,14.4,17.1,dO18_0186,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.115,0.085,S3,0,,29.4,17.1,dO18_0188,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.265,0.235,S12,0,,65.2,17.1,dO18_0183,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.085,0.055,S11,0.1,,246,17.1,dO18_0189,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.055,0.025,S19,,,418.5,17.1,dO18_0190,
PS122/2_19-9,06/01/2020,snow1-A1,87.098823,115.257965,0.03,0,S4,,,638,17.1,dO18_0191,
PS122/2_19-92,10/01/2020,snow2-A2,87.168234,113.089407,0.13,0.1,S15,0,,,18.1,dO18_0198,
